objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804561670,6162,301,3,133,262,3,258.2391628,64.04686249,24.40229,24.48734,24.48393,22.63537,22.78593,1.093199,0.5530455,0.6489867,0.2660244,0.6748748,-0.08505,0.00341,,,,,,,
1237671939804561642,6162,301,3,133,234,3,258.2402613,64.05103239,19.97055,18.02808,17.15332,16.75653,16.5045,0.07911072,0.007816929,0.005617437,0.005608907,0.01337698,1.94247,0.87476,,,,,,,
1237671939804561640,6162,301,3,133,232,3,258.2584579,64.05229709,17.96696,15.81899,14.82889,14.39119,14.08146,0.03141735,0.003212881,0.002435178,0.002401663,0.004510812,2.14797,0.9901,,,,,,,
1237671939804561654,6162,301,3,133,246,3,258.2508039,64.05144461,23.33982,22.3194,21.41105,21.11971,20.84277,0.6640186,0.1169861,0.07641038,0.08052275,0.2381976,1.02042,0.90835,,,,,,,
1237671939804561472,6162,301,3,133,64,3,258.1709869,64.07269653,19.22295,17.07339,16.12337,15.64486,15.33133,0.048023,0.004666888,0.003477939,0.003300414,0.00654745,2.14956,0.95002,,,,,,,
1237671939804561488,6162,301,3,133,80,3,258.1702388,64.07091592,21.37524,18.98603,18.08582,17.74224,17.27822,0.1363848,0.01016632,0.007105212,0.007185561,0.01423681,2.38921,0.90021,,,,,,,
1237671939804562616,6162,301,3,133,1208,3,258.2183258,64.06319183,24.68191,22.36218,21.77893,21.10454,22.20515,1.2605,0.1221235,0.1043006,0.08439483,0.6862757,2.31973,0.58325,,,,,,,
1237671939804562606,6162,301,3,133,1198,3,258.2144265,64.05690914,23.3746,21.77658,20.98555,20.38789,21.3371,1.739412,0.1652286,0.1209826,0.1046388,0.9511231,1.59802,0.79103,,,,,,,
1237671939804562609,6162,301,3,133,1201,3,258.2156806,64.06007956,24.03946,21.47682,20.73711,20.3303,20.40927,1.160263,0.06053378,0.04508002,0.04547102,0.1891508,2.56264,0.73971,,,,,,,
1237671939804562610,6162,301,3,133,1202,3,258.213807,64.059186,24.73358,22.54807,21.90881,21.65874,22.0667,1.238331,0.1416565,0.1148844,0.1330512,0.6212412,2.18551,0.63926,,,,,,,
1237671939804561644,6162,301,3,133,236,3,258.2263966,64.05471054,21.20975,19.32097,18.44257,18.05359,17.82893,0.1318721,0.01256071,0.00878675,0.008756622,0.022846,1.88878,0.8784,,,,,,,
1237671939804561658,6162,301,3,133,250,3,258.221491,64.05751479,23.60674,23.07467,21.93784,21.60282,21.99699,0.7275607,0.1944886,0.09841073,0.1037598,0.4945464,0.53207,1.13683,,,,,,,
1237671939804561651,6162,301,3,133,243,3,258.2204497,64.05494856,21.34523,20.38214,20.05288,19.73564,19.95149,0.1344207,0.02409591,0.02404763,0.02558,0.1155039,0.96309,0.32926,,,,,,,
