objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237657189833835511,2728,301,1,449,1015,3,5.396682208,-0.952815799,23.31216,23.61023,22.17576,21.4717,20.89969,0.5597998,0.346448,0.1422756,0.1120569,0.3340987
1237657189833835512,2728,301,1,449,1016,3,5.397225187,-0.951330941,23.10905,22.92311,21.85162,21.92181,22.04852,0.6827883,0.2819515,0.1555123,0.2411259,0.8198277
1237657189833835231,2728,301,1,449,735,3,5.401645938,-0.959555681,22.43112,22.16868,21.32362,21.04892,20.645,0.2636737,0.09877083,0.06366169,0.07320084,0.1877049
1237657189833835227,2728,301,1,449,731,3,5.401010926,-0.954938564,21.38981,20.36542,19.73374,19.3965,19.39999,0.1834025,0.0390237,0.03116422,0.03368151,0.1169271
1237657189833835224,2728,301,1,449,728,3,5.397835289,-0.957339636,22.25476,21.91541,21.21743,21.06693,20.69701,0.2780788,0.09812039,0.07373204,0.09479935,0.2486115
1237657189833835724,2728,301,1,449,1228,3,5.454511387,-0.970058563,25.57921,24.11262,22.66143,21.66482,21.45771,0.8025631,0.5823784,0.2419828,0.1504552,0.4403954
1237657189833834999,2728,301,1,449,503,3,5.449816154,-0.958245067,20.48754,19.30893,18.75645,18.48742,18.41381,0.1471085,0.02602224,0.02340978,0.02662049,0.08886223
1237657189833835768,2728,301,1,449,1272,3,5.446845024,-0.960569958,25.47167,26.16992,26.03629,23.69719,20.49744,0.715683,0.4608447,0.4160522,0.6220346,0.1776927
1237657189833835716,2728,301,1,449,1220,3,5.44405255,-0.944305349,23.49327,22.57569,22.087,21.12683,20.49974,1.14877,0.2633387,0.2431307,0.154636,0.3268518
1237657189833835287,2728,301,1,449,791,3,5.43291201,-0.95611648,23.61695,21.99459,21.52963,21.23493,21.09787,0.6181489,0.07961729,0.06869894,0.07827385,0.2501617
1237657189833835311,2728,301,1,449,815,3,5.440837301,-0.963646437,22.03341,20.87625,20.48669,20.22011,20.32182,0.2931256,0.05256446,0.05801027,0.06260901,0.2443286
